"nombre";"sexo";"2015";"2016";"2017";"2018";"2019";"2020";"n_total"
"Mateo";"M";"3457";"4085";"4737";"4468";"4152";"3867";"24766"
"Agustín";"M";"5356";"4300";"3714";"3466";"2869";"2535";"22240"
"Benjamín";"M";"3701";"3583";"2758";"2460";"2537";"2219";"17258"
"Vicente";"M";"3551";"3214";"2715";"2363";"1975";"1716";"15534"
"Tomás";"M";"2763";"2561";"2304";"3073";"2570";"2186";"15457"
"Joaquín";"M";"2624";"3110";"2762";"2270";"1958";"1687";"14411"
"Matías";"M";"3168";"2758";"2278";"2191";"1926";"1604";"13925"
"Martín";"M";"3370";"2867";"2321";"2060";"1785";"1508";"13911"
"Lucas";"M";"2102";"2144";"2616";"2424";"2468";"2146";"13900"
"Alonso";"M";"3222";"2563";"2320";"2003";"2048";"1571";"13727"
"Maximiliano";"M";"2695";"2614";"2369";"2269";"1942";"1700";"13589"
"Santiago";"M";"1504";"1585";"1907";"2684";"2658";"2125";"12463"
"Gaspar";"M";"1711";"1935";"2136";"2104";"2119";"1919";"11924"
"Cristóbal";"M";"2420";"2256";"1724";"1480";"1236";"1192";"10308"
"José";"M";"1912";"1762";"1645";"1699";"1389";"1230";"9637"
"Máximo";"M";"1584";"1601";"1396";"1339";"1300";"1181";"8401"
"Diego";"M";"1773";"1421";"1315";"1214";"1135";"1052";"7910"
"Luciano";"M";"1020";"1088";"1495";"1511";"1367";"1402";"7883"
"Sebastián";"M";"1799";"1524";"1336";"1221";"1126";"787";"7793"
"Nicolás";"M";"1461";"1546";"1224";"1268";"1139";"979";"7617"
"Bruno";"M";"1100";"1227";"1362";"1444";"1207";"1227";"7567"
"Gabriel";"M";"1460";"1308";"1213";"1178";"1229";"1081";"7469"
"Julián";"M";"1048";"1130";"1575";"1288";"1331";"1079";"7451"
"Juan";"M";"1442";"1295";"1269";"1152";"1020";"901";"7079"
"Emiliano";"M";"1129";"1063";"1165";"1215";"1183";"1296";"7051"
"Facundo";"M";"917";"1058";"1008";"1164";"1358";"1439";"6944"
"Felipe";"M";"1691";"1310";"1053";"968";"857";"637";"6516"
"Renato";"M";"1378";"1319";"1058";"1003";"844";"717";"6319"
"Simón";"M";"917";"1006";"1019";"1021";"964";"928";"5855"
"Ignacio";"M";"1240";"1082";"1089";"930";"812";"640";"5793"
"León";"M";"1077";"1148";"947";"840";"853";"919";"5784"
"Dante";"M";"716";"705";"621";"1227";"1219";"1083";"5571"
"Amaro";"M";"1063";"950";"816";"769";"726";"670";"4994"
"Bastián";"M";"1101";"1008";"784";"653";"625";"515";"4686"
"Pedro";"M";"833";"709";"815";"827";"773";"652";"4609"
"Franco";"M";"1039";"846";"648";"628";"825";"560";"4546"
"Daniel";"M";"917";"844";"718";"691";"693";"649";"4512"
"Francisco";"M";"1003";"895";"730";"661";"564";"478";"4331"
"Javier";"M";"1022";"878";"695";"682";"568";"462";"4307"
"Rafael";"M";"612";"662";"668";"685";"689";"655";"3971"
"Luis";"M";"791";"706";"712";"627";"586";"502";"3924"
"Ian";"M";"674";"628";"617";"622";"676";"688";"3905"
"Emilio";"M";"848";"722";"613";"549";"474";"436";"3642"
"Liam";"M";"306";"286";"373";"630";"819";"1059";"3473"
"Damián";"M";"842";"739";"491";"508";"434";"391";"3405"
"Thomas";"M";"658";"572";"505";"624";"525";"510";"3394"
"David";"M";"648";"585";"560";"537";"566";"464";"3360"
"Carlos";"M";"664";"599";"546";"557";"466";"415";"3247"
"Fernando";"M";"705";"598";"571";"527";"420";"401";"3222"
"Pablo";"M";"673";"549";"470";"529";"512";"434";"3167"
"Angel";"M";"667";"616";"496";"476";"456";"441";"3152"
"Santino";"M";"150";"309";"419";"641";"665";"950";"3134"
"Samuel";"M";"468";"421";"483";"561";"560";"577";"3070"
"Mariano";"M";"380";"519";"521";"499";"586";"525";"3030"
"Gael";"M";"197";"433";"481";"615";"584";"666";"2976"
"Dylan";"M";"556";"499";"508";"471";"471";"429";"2934"
"Gustavo";"M";"739";"608";"488";"410";"353";"335";"2933"
"Alexander";"M";"577";"505";"510";"430";"398";"415";"2835"
"Esteban";"M";"594";"488";"455";"417";"402";"330";"2686"
"Jorge";"M";"565";"530";"451";"406";"373";"302";"2627"
"Valentín";"M";"374";"439";"370";"369";"435";"525";"2512"
"Salvador";"M";"444";"349";"360";"401";"423";"409";"2386"
"Manuel";"M";"498";"454";"377";"355";"337";"307";"2328"
